treatment,replicate,timepoint,phage,host,infectivity,resistance
1-clone,10,1,1,1,0.020833333,1
1-clone,10,1,2,2,0.020833333,1.00E+00
1-clone,10,1,3,3,0.020833333,1
1-clone,10,1,4,4,0.020833333,4.88E-15
1-clone,10,1,5,5,0.020833333,1
1-clone,10,1,6,6,0.020833333,1
1-clone,10,1,7,7,0.020833333,1
1-clone,10,1,8,8,0.020833333,1
1-clone,10,1,9,9,0.020833333,1
1-clone,10,1,10,10,0.020833333,1
1-clone,10,1,11,11,0.020833333,1
1-clone,10,1,12,12,0.020833333,1
1-clone,10,3,1,1,0.375,0.25
1-clone,10,3,2,2,0.458333333,0.25
1-clone,10,3,3,3,0.458333333,1.00E+00
1-clone,10,3,4,4,0.458333333,0.25
1-clone,10,3,5,5,0.458333333,0.270833333
1-clone,10,3,6,6,0.458333333,2.50E-01
1-clone,10,3,7,7,0.458333333,0.270833333
1-clone,10,3,8,8,0.458333333,0.25
1-clone,10,3,9,9,0.458333333,0.25
1-clone,10,3,10,10,0.458333333,0.25
1-clone,10,3,11,11,0.458333333,0.25
1-clone,10,3,12,12,0.458333333,0.25
1-clone,10,5,1,1,0.4375,0.25
1-clone,10,5,2,2,0.458333333,0.75
1-clone,10,5,3,3,0.458333333,0.25
1-clone,10,5,4,4,0.458333333,0.270833333
1-clone,10,5,5,5,0.458333333,0.25
1-clone,10,5,6,6,0.458333333,0.25
1-clone,10,5,7,7,0.458333333,0.270833333
1-clone,10,5,8,8,0.458333333,0.25
1-clone,10,5,9,9,0.458333333,0.25
1-clone,10,5,10,10,0.458333333,1
1-clone,10,5,11,11,0.458333333,0.270833333
1-clone,10,5,12,12,0.458333333,0.25
1-clone,10,7,1,1,0.479166667,1
1-clone,10,7,2,2,0.479166667,1
1-clone,10,7,3,3,0.479166667,1
1-clone,10,7,4,4,0.479166667,1
1-clone,10,7,5,5,0.479166667,1
1-clone,10,7,6,6,0.479166667,1
1-clone,10,7,7,7,0.479166667,1
1-clone,10,7,8,8,0.479166667,1
1-clone,10,7,9,9,0.479166667,1
1-clone,10,7,10,10,0.479166667,1
1-clone,10,7,11,11,0.479166667,1
1-clone,10,7,12,12,0.479166667,1
