ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.1.1,1,1-clone,t7,,,,,,,,,
.1.2,1,1-clone,t7,,,,,,,,,
.1.3,1,1-clone,t7,,,,,,,,,
.1.4,1,1-clone,t7,,,,,,,,,
.1.5,1,1-clone,t7,,,,,,,,,
.1.6,1,1-clone,t7,,,,,,,,,
.1.7,1,1-clone,t7,,,,,,,,,
.1.8,1,1-clone,t7,,,,,,,,,
.1.9,1,1-clone,t7,,,,,,,,,
.1.10,1,1-clone,t7,,,,,,,,,
.1.11,1,1-clone,t7,,,,,,,,,
.1.12,1,1-clone,t7,,,,,,,,,
.1.13,1,1-clone,t7,,,,,,,,,
.1.14,1,1-clone,t7,,,,,,,,,
.1.15,1,1-clone,t7,,,,,,,,,
.1.16,1,1-clone,t7,,,,,,,,,
.1.17,1,1-clone,t7,,,,,,,,,
.1.18,1,1-clone,t7,,,,,,,,,
.1.19,1,1-clone,t7,,,,,,,,,
.1.20,1,1-clone,t7,,,,,,,,,
.1.21,1,1-clone,t7,,,,,,,,,
.1.22,1,1-clone,t7,,,,,,,,,
.1.23,1,1-clone,t7,,,,,,,,,
.1.24,1,1-clone,t7,,,,,,,,,
.2.1,2,1-clone,t7,,,,,,,,,
.2.2,2,1-clone,t7,,,,,,,,,
.2.3,2,1-clone,t7,,,,,,,,,
.2.4,2,1-clone,t7,,,,,,,,,
.2.5,2,1-clone,t7,,,,,,,,,
.2.6,2,1-clone,t7,,,,,,,,,
.2.7,2,1-clone,t7,,,,,,,,,
.2.8,2,1-clone,t7,,,,,,,,,
.2.9,2,1-clone,t7,,,,,,,,,
.2.10,2,1-clone,t7,,,,,,,,,
.2.11,2,1-clone,t7,,,,,,,,,
.2.12,2,1-clone,t7,,,,,,,,,
.2.13,2,1-clone,t7,,,,,,,,,
.2.14,2,1-clone,t7,,,,,,,,,
.2.15,2,1-clone,t7,,,,,,,,,
.2.16,2,1-clone,t7,,,,,,,,,
.2.17,2,1-clone,t7,,,,,,,,,
.2.18,2,1-clone,t7,,,,,,,,,
.2.19,2,1-clone,t7,,,,,,,,,
.2.20,2,1-clone,t7,,,,,,,,,
.2.21,2,1-clone,t7,,,,,,,,,
.2.22,2,1-clone,t7,,,,,,,,,
.2.23,2,1-clone,t7,,,,,,,,,
.2.24,2,1-clone,t7,,,,,,,,,
.3.1,3,1-clone,t7,,,,,,,,,
.3.2,3,1-clone,t7,,,,,,,,,
.3.3,3,1-clone,t7,,,,,,,,,
.3.4,3,1-clone,t7,,,,,,,,,
.3.5,3,1-clone,t7,,,,,,,,,
