bottleneck,timepoint,variable,mean,lower,upper
1-clone,1,Sensitive,0.06,0.04,0.10
1-clone,1,SM,0.21,0.17,0.26
1-clone,1,CRISPR,0.73,0.67,0.77
5-clone,1,Sensitive,0.06,0.02,0.17
5-clone,1,SM,0.16,0.12,0.21
5-clone,1,CRISPR,0.77,0.72,0.82
1-clone,3,Sensitive,0.00,0.00,0.04
1-clone,3,SM,0.15,0.08,0.26
1-clone,3,CRISPR,0.85,0.74,0.92
5-clone,3,Sensitive,0.02,0.00,0.07
5-clone,3,SM,0.04,0.01,0.10
5-clone,3,CRISPR,0.94,0.88,0.98
1-clone,5,Sensitive,0.00,0.00,0.00
1-clone,5,SM,0.27,0.16,0.42
1-clone,5,CRISPR,0.73,0.59,0.83
5-clone,5,Sensitive,0.00,0.00,0.00
5-clone,5,SM,0.00,0.00,0.03
5-clone,5,CRISPR,1.00,0.97,1.00
1-clone,7,Sensitive,0.00,0.00,0.00
1-clone,7,SM,0.03,0.01,0.07
1-clone,7,CRISPR,0.89,0.80,0.94
5-clone,7,Sensitive,0.00,0.00,0.00
5-clone,7,SM,0.00,0.00,0.00
5-clone,7,CRISPR,1.00,1.00,1.00
