ID,bottleneck,timepoint,pfu,cfu,raw.count,dilution,
1,1-clone,t0,5.40E+04,1.00E+06,,,
2,1-clone,t0,4.20E+04,1.00E+06,,,
3,1-clone,t0,5.20E+04,1.00E+06,,,
4,1-clone,t0,4.40E+04,1.00E+06,,,
5,1-clone,t0,5.20E+04,1.00E+06,,,
6,1-clone,t0,2.80E+04,1.00E+06,,,
7,1-clone,t0,4.80E+04,1.00E+06,,,
8,1-clone,t0,3.20E+04,1.00E+06,,,
9,1-clone,t0,2.40E+04,1.00E+06,,,
10,1-clone,t0,2.00E+04,1.00E+06,,,
11,1-clone,t0,4.60E+04,1.00E+06,,,
12,1-clone,t0,4.60E+04,1.00E+06,,,
1,5-clone,t0,4.20E+04,1.00E+06,,,
2,5-clone,t0,4.40E+04,1.00E+06,,,
3,5-clone,t0,3.00E+04,1.00E+06,,,
4,5-clone,t0,4.80E+04,1.00E+06,,,
5,5-clone,t0,3.60E+04,1.00E+06,,,
6,5-clone,t0,3.40E+04,1.00E+06,,,
7,5-clone,t0,5.60E+04,1.00E+06,,,
8,5-clone,t0,3.80E+04,1.00E+06,,,
9,5-clone,t0,2.20E+04,1.00E+06,,,
10,5-clone,t0,3.80E+04,1.00E+06,,,
11,5-clone,t0,4.60E+04,1.00E+06,,,
12,5-clone,t0,3.80E+04,1.00E+06,,,
1,1-clone,t1,2.00E+10,3.27E+07,109,300000,
2,1-clone,t1,1.60E+10,9.24E+07,308,300000,
3,1-clone,t1,5.40E+10,6.42E+07,214,300000,
4,1-clone,t1,5.80E+09,5.07E+07,169,300000,
5,1-clone,t1,2.00E+10,2.76E+07,92,300000,
6,1-clone,t1,2.60E+11,5.46E+07,182,300000,
7,1-clone,t1,1.00E+10,4.59E+07,153,300000,
8,1-clone,t1,1.80E+10,4.74E+07,158,300000,
9,1-clone,t1,1.40E+10,1.71E+07,57,300000,
10,1-clone,t1,4.80E+09,2.10E+07,70,300000,
11,1-clone,t1,2.60E+10,9.78E+07,326,300000,
12,1-clone,t1,1.40E+10,3.24E+07,108,300000,
1,5-clone,t1,1.00E+12,9.84E+07,328,300000,
2,5-clone,t1,7.00E+11,6.72E+07,224,300000,
3,5-clone,t1,1.20E+10,1.13E+08,378,300000,
4,5-clone,t1,8.00E+09,4.50E+07,150,300000,
5,5-clone,t1,1.20E+10,6.96E+07,232,300000,
6,5-clone,t1,8.00E+09,6.30E+07,210,300000,
7,5-clone,t1,3.60E+11,2.19E+07,73,300000,
8,5-clone,t1,2.00E+10,2.40E+07,80,300000,
9,5-clone,t1,1.20E+10,4.38E+07,146,300000,
10,5-clone,t1,8.00E+09,1.44E+07,48,300000,
11,5-clone,t1,5.40E+11,2.64E+06,88,30000,
12,5-clone,t1,4.60E+10,3.87E+06,129,30000,
1,1-clone,t2,8.00E+04,1.00E+08,1.00E+03,1.00E+05,
2,1-clone,t2,3.00E+05,3.00E+08,3.00E+03,1.00E+05,
3,1-clone,t2,1.60E+08,1.60E+08,1.60E+03,1.00E+05,
4,1-clone,t2,3.00E+05,1.20E+08,1.20E+03,1.00E+05,
5,1-clone,t2,2.40E+06,1.40E+09,1.40E+03,1.00E+06,
6,1-clone,t2,2.60E+05,2.20E+08,2.20E+03,1.00E+05,
7,1-clone,t2,3.40E+09,2.00E+06,2.00E+03,1.00E+03,
8,1-clone,t2,3.60E+09,2.20E+06,2.20E+03,1.00E+03,
9,1-clone,t2,1.40E+08,2.00E+08,2.00E+03,1.00E+05,
10,1-clone,t2,3.60E+06,1.40E+08,1.40E+03,1.00E+05,
11,1-clone,t2,1.40E+07,2.60E+08,2.60E+03,1.00E+05,
12,1-clone,t2,1.00E+05,2.80E+08,2.80E+03,1.00E+05,
1,5-clone,t2,3.00E+04,3.40E+08,3.40E+03,1.00E+05,
2,5-clone,t2,1.40E+06,2.00E+08,2.00E+02,1.00E+06,
3,5-clone,t2,1.60E+06,3.00E+08,3.00E+03,1.00E+05,
4,5-clone,t2,1.60E+06,2.20E+08,2.20E+03,1.00E+05,
5,5-clone,t2,1.00E+06,2.60E+08,2.60E+03,1.00E+05,
6,5-clone,t2,3.80E+06,3.40E+08,3.40E+03,1.00E+05,
7,5-clone,t2,6.00E+05,2.60E+08,2.60E+03,1.00E+05,
8,5-clone,t2,4.60E+05,6.00E+08,6.00E+02,1.00E+06,
9,5-clone,t2,1.60E+06,4.00E+07,4.00E+03,1.00E+04,
