Treatment,Timepoint,Replicate,Clone,TotalSpacers,Zero,One,Two,Three,Four,FiveOrMore,Single,Multiple
1-clone,1,1,1.1,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.2,6,0,0,0,0,0,1,0,1
1-clone,1,1,1.3,5,0,0,0,0,0,1,0,1
1-clone,1,1,1.4,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.5,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.6,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.7,2,0,0,1,0,0,0,0,1
1-clone,1,1,1.8,2,0,0,1,0,0,0,0,1
1-clone,1,1,1.9,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.1,1,0,1,0,0,0,0,1,0
1-clone,1,1,1.11,3,0,0,0,1,0,0,0,1
1-clone,1,1,1.12,2,0,0,1,0,0,0,0,1
1-clone,1,5,5.1,1,0,1,0,0,0,0,1,0
1-clone,1,5,5.2,0,1,0,0,0,0,0,0,0
1-clone,1,5,5.3,0,1,0,0,0,0,0,0,0
1-clone,1,5,5.4,2,0,0,1,0,0,0,0,1
1-clone,1,5,5.5,1,0,1,0,0,0,0,1,0
1-clone,1,5,5.6,0,1,0,0,0,0,0,0,0
1-clone,1,5,5.7,0,1,0,0,0,0,0,0,0
1-clone,1,5,5.8,2,0,0,1,0,0,0,0,1
1-clone,1,5,5.9,4,0,0,0,0,1,0,0,1
1-clone,1,5,5.1,1,0,1,0,0,0,0,1,0
1-clone,1,5,5.11,3,0,0,0,1,0,0,0,1
1-clone,1,5,5.12,0,1,0,0,0,0,0,0,0
1-clone,1,7,7.1,0,1,0,0,0,0,0,0,0
1-clone,1,7,7.2,0,1,0,0,0,0,0,0,0
1-clone,1,7,7.3,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.4,2,0,0,1,0,0,0,0,1
1-clone,1,7,7.5,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.6,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.7,4,0,0,0,0,1,0,0,1
1-clone,1,7,7.8,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.9,2,0,0,1,0,0,0,0,1
1-clone,1,7,7.1,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.11,1,0,1,0,0,0,0,1,0
1-clone,1,7,7.12,0,1,0,0,0,0,0,0,0
1-clone,1,8,8.1,1,0,1,0,0,0,0,1,0
1-clone,1,8,8.2,1,0,1,0,0,0,0,1,0
