Treatment,Timepoint,SpacerNumber,Mean,Lower,Upper
1-clone,1,Zero,0.1785715,0.1106203,0.2753408
1-clone,1,One,0.3452358,0.2047216,0.519227
1-clone,1,Two,0.2738092,0.1529786,0.4404505
1-clone,1,Three,0.07142981,0.02750341,0.1730298
1-clone,1,Four,0.08333373,0.03382783,0.1909696
1-clone,1,FiveOrMore,0.04761776,0.01560015,0.1362526
1-clone,3,Zero,0.012500875,0.001758317,0.083392933
1-clone,3,One,0.462500504,0.102392672,0.866499603
1-clone,3,Two,0.449998363,0.097834039,0.860586683
1-clone,3,Three,0.04999965,0.005719112,0.325044111
1-clone,3,Four,0.00E+00,0,0
1-clone,3,FiveOrMore,0.024999543,0.002273205,0.223936498
1-clone,5,Zero,0.00E+00,,
1-clone,5,One,0.01190391,,
1-clone,5,Two,0.8333378,,
1-clone,5,Three,0.1309506,,
1-clone,5,Four,0.02380941,,
1-clone,5,FiveOrMore,0.00E+00,,
1-clone,7,Zero,0.00E+00,,
1-clone,7,One,0.00E+00,,
1-clone,7,Two,0.1666664,,
1-clone,7,Three,0.6666668,,
1-clone,7,Four,0.1666662,,
1-clone,7,FiveOrMore,0.00E+00,,
5-clone,1,Zero,0.30000156,0.197903893,0.426747458
5-clone,1,One,0.300001622,0.164082949,0.483400358
5-clone,1,Two,0.249999406,0.129818059,0.426862791
5-clone,1,Three,0.100002934,0.038967547,0.233419056
5-clone,1,Four,0.049997303,0.01434198,0.159913345
5-clone,1,FiveOrMore,0.00E+00,0,0
5-clone,3,Zero,0.072722748,0.027641397,0.177878623
5-clone,3,One,0.472730456,0.222094909,0.7379086
5-clone,3,Two,0.309089975,0.122509306,0.589070687
5-clone,3,Three,0.054545249,0.012185465,0.212483545
5-clone,3,Four,0.05455117,0.012185423,0.212522559
5-clone,3,FiveOrMore,0.036361742,0.006593534,0.176630207
5-clone,5,Zero,8.65E-09,0,0
5-clone,5,One,0.050000167,,
5-clone,5,Two,0.333334091,,
5-clone,5,Three,0.250000797,,
5-clone,5,Four,0.283333317,,
5-clone,5,FiveOrMore,0.083333,,
5-clone,7,Zero,0.033332694,0.008351522,0.123715481
5-clone,7,One,0.00E+00,0,0
5-clone,7,Two,0.383333111,0.121528337,0.736370156
5-clone,7,Three,0.350000371,0.106674748,0.708289518
5-clone,7,Four,0.233333498,0.061751932,0.584608955
5-clone,7,FiveOrMore,0.00E+00,0,0
