Treatment,Replicate,Phage,Phage.Background,Host.Timepoint,1,2,3,4,5,6,7,8,9,10,11,12
1-clone,1,1,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,2,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,3,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,4,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,5,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,6,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,7,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,8,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,9,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,10,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,11,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,12,Future,1,0,0,0,0,1,0,0,0,0,0,1,0
1-clone,1,1,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,2,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,3,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,4,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,5,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,6,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,7,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,8,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,9,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,10,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,11,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,12,Contemporary,3,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,1,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,2,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,3,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,4,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,5,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,6,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,7,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,8,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,9,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,10,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,11,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,12,Past,5,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,1,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,2,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,3,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,4,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,5,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,6,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,7,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,8,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,9,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,10,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,11,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
1-clone,1,12,Past,7,0,0,0,0,0,0,0,0,0,0,0,0
